date,voo_close,voo_ath,voo_drawdown_pct,brkb_pb_ratio
2026-05-21,682.840027,687.72998,0.711028,1.420974
2026-05-22,685.549988,687.72998,0.316984,1.441257
2026-05-26,690.01001,690.01001,0,1.433066
2026-05-27,689.960022,690.01001,0.007245,1.422187
2026-05-28,693.909973,693.909973,0,1.41558
2026-05-29,695.48999,695.48999,0,1.406165
2026-06-01,697.299988,697.299988,0,1.394813
2026-06-02,698.26001,698.26001,0,1.398866
2026-06-03,693.359985,698.26001,0.701748,1.411688
2026-06-04,696.059998,698.26001,0.315071,1.42104
2026-06-05,678,698.26001,2.901499,1.450967
2026-06-08,679.679993,698.26001,2.660902,1.437388
2026-06-09,677.700012,698.26001,2.944462,1.443672
2026-06-10,667.049988,698.26001,4.469685,1.438011
2026-06-11,678.22998,698.26001,2.868563,1.437182
2026-06-12,681.950012,698.26001,2.335806,1.448099
2026-06-15,693.830017,698.26001,0.634433,1.467772
2026-06-16,689.75,698.26001,1.218745,1.468445
2026-06-17,681.409973,698.26001,2.413146,1.458384
2026-06-18,688.109985,698.26001,1.453617,1.451086
2026-06-22,686.099976,698.26001,1.741477,1.452648
2026-06-23,676.340027,698.26001,3.139229,1.459373
2026-06-24,675.690002,698.26001,3.232321,1.469461
2026-06-25,675.710022,698.26001,3.229454,1.45067
2026-06-26,670.26001,698.26001,4.009968,1.473892
2026-06-29,681.01001,698.26001,2.470426,1.470668
2026-06-30,686.809998,698.26001,1.639792,1.48123
2026-07-01,685.460022,698.26001,1.833126,1.485483
2026-07-02,684.840027,698.26001,1.921918,1.50641
2026-07-06,690.619995,698.26001,1.09415,1.497351
2026-07-07,687.080017,698.26001,1.601122,1.495373
2026-07-08,685.26001,698.26001,1.861771,1.480044
2026-07-09,690.690002,698.26001,1.084124,1.465762
2026-07-10,693.859985,698.26001,0.630141,1.463231
2026-07-13,688.5,698.26001,1.397762,1.473318
2026-07-14,691.099976,698.26001,1.025411,1.457791
2026-07-15,693.799988,698.26001,0.638734,1.450235
2026-07-16,690.140015,698.26001,1.16289,1.460758
2026-07-17,683.169983,698.26001,2.16109,1.455813
2026-07-20,682.210022,698.26001,2.298569,1.456209
2026-07-21,687.869995,698.26001,1.487986,1.450919
2026-07-22,687.030029,698.26001,1.608281,1.449384
2026-07-23,678.609985,698.26001,2.814141,1.457063
2026-07-24,679.140015,698.26001,2.738234,1.473615
2026-07-27,679.309998,698.26001,2.713891,1.475277
2026-07-28,680.960022,698.26001,2.477585,1.519129
2026-07-29,670.630005,698.26001,3.956979,1.50955
2026-07-30,681.789978,698.26001,2.358725,1.513155
2026-07-31,686.650024,698.26001,1.662702,1.51634
2026-08-03,696.400024,698.26001,0.266374,1.519604
2026-08-04,708.97998,708.97998,0,1.531571
2026-08-05,707.599976,708.97998,0.194647,1.538288
2026-08-06,706.400024,708.97998,0.363897,1.554713
2026-08-07,710.710022,710.710022,0,1.543015
2026-08-10,710.650024,710.710022,0.008442,1.570171
2026-08-11,708.419983,710.710022,0.322218,1.532955
2026-08-12,710.169983,710.710022,0.075986,1.458322
2026-08-13,714.950012,714.950012,0,1.459139
2026-08-14,713.609985,714.950012,0.187429,1.446826
2026-08-17,710.27002,714.950012,0.65459,1.431181
2026-08-18,705.400024,714.950012,1.335756,1.443054
