date,twii_close,twii_ath,twii_drawdown_pct,twii_ma240,twii_below_ma240,margin_ratio_pct,usdtwd_rate
2026-05-22,42267.96875,42267.96875,0,28841.044149,false,197.222242,31.459999
2026-05-25,43644.398438,43644.398438,0,28933.905306,false,204.249719,31.416
2026-05-26,43525.371094,43644.398438,0.272721,29026.313932,false,212.174641,31.405001
2026-05-27,44256.800781,44256.800781,0,29123.205973,false,209.624282,31.391001
2026-05-28,43636.441406,44256.800781,1.401727,29216.995605,false,208.679936,31.409
2026-05-29,44732.941406,44732.941406,0,29313.307487,false,202.749345,31.377001
2026-06-01,45337.910156,45337.910156,0,29411.905322,false,206.556774,31.292999
2026-06-02,45557.308594,45557.308594,0,29511.474691,false,210.160831,31.436001
2026-06-04,45677.460938,46459.160156,1.682551,29711.908822,false,204.066113,31.476
2026-06-05,45070.941406,46459.160156,2.988041,29806.078996,false,203.015123,31.452999
2026-06-08,43502.78125,46459.160156,6.363393,29894.474666,false,198.976727,31.487
2026-06-09,44704.441406,46459.160156,3.776906,29988.77255,false,191.066287,31.561001
2026-06-10,43225.539062,46459.160156,6.960137,29982.610457,false,198.218781,31.620001
2026-06-11,43149.460938,46459.160156,7.123889,30164.245508,false,187.376978,31.627001
2026-06-12,44169.039062,46459.160156,4.929321,30255.130127,false,,31.627001
2026-06-15,45396.988281,46459.160156,2.286249,30352.602995,false,188.169315,31.506001
2026-06-16,45809.191406,46459.160156,1.399011,30354.320508,false,199.41219,31.497999
2026-06-17,45877.390625,46459.160156,1.252217,30552.223088,false,199.618816,31.587
2026-06-18,46465.199219,46465.199219,0,30653.374919,false,205.351563,31.605
2026-06-22,47741.511719,47741.511719,0,30758.837012,false,205.351563,31.610001
2026-06-23,47100.648438,47741.511719,1.342361,30861.371631,false,208.560305,31.624001
2026-06-24,46043.601562,47741.511719,3.556465,30959.136304,false,,31.709
2026-06-25,46255.261719,47741.511719,3.113119,31059.133146,false,200.369724,31.844999
